#{"t_start": 1653926263.3373713, "env_id": "CarlaGymEnv-v1"}
r,l,t
3.388423,15,46.218692
0.715067,16,96.602251
2.178036,15,137.882537
0.927639,15,179.217403
0.731751,15,223.085946
0.293911,16,270.149958
-25.739675,15,313.685618
-19.442274,15,357.742633
41.912481,14,393.754483
3.714265,15,434.755448
6.338146,15,474.809924
0.785905,15,514.618257
0.394517,16,562.353531
0.912924,15,607.717375
0.277835,16,657.162505
2.565902,15,697.578454
-112.673727,15,736.378351
-9.813859,4,745.725936
-128.769491,16,792.202232
-2.523445,2,795.401643
-9.689271,2,798.72558
-68.396621,15,839.66624
-6.141439,4,848.085837
-129.972911,15,890.741756
-109.232151,15,934.022486
-149.999933,16,981.210514
-117.9419,15,1024.918106
-119.990236,14,1062.374329
-128.495803,15,1105.814928
-9.999127,2,1109.226381
-129.522825,15,1152.537483
-127.628333,14,1186.374727
-129.945963,15,1227.765296
-9.980075,3,1233.886986
-139.991691,15,1272.605984
-149.999892,16,1315.813698
-119.996908,16,1363.273741
-98.27719,14,1397.078285
-112.465189,15,1437.622424
-109.055531,15,1477.719178
-99.364187,15,1518.841893
-119.544586,15,1562.634662
-118.545357,15,1607.105947
-31.697602,15,1648.690072
-9.1171,6,1663.998413
16.428963,15,1706.469392
-8.5739,15,1748.954906
1.599554,15,1790.053621
1.210384,15,1830.293883
0.951898,15,1870.906057
1.356348,15,1910.842056
34.978888,14,1944.519336
19.381385,15,1987.053959
-58.272124,15,2028.689751
-5.563068,3,2034.417835
-15.454309,15,2075.701123
-8.277476,3,2081.97758
-9.99203,2,2085.897745
-79.077788,15,2128.874505
-125.999242,15,2172.923208
-119.982263,15,2215.214263
-8.999221,2,2218.438096
-3.982339,3,2224.113981
-122.698615,15,2267.845407
-134.470876,15,2308.826893
-139.918503,16,2356.658873
-138.839376,15,2395.442744
-4.687069,2,2398.677704
-7.843123,2,2401.626192
-118.015746,15,2443.562233
-6.650046,4,2451.869758
-111.775735,15,2491.102288
-129.990453,15,2532.365654
-106.876453,15,2572.189461
-149.999245,16,2617.386738
-9.999798,2,2620.650213
-149.987187,16,2664.778185
-137.811654,15,2706.313872
-129.802585,15,2748.329803
-9.999916,2,2751.473701
-136.904737,16,2797.761903
-110.625439,14,2833.141014
-139.99836,15,2877.332964
-9.943067,2,2880.684484
-8.791614,2,2883.905986
-9.993865,2,2887.346748
-9.935745,3,2894.133739
-9.886061,2,2897.953787
-137.461453,15,2940.374748
-118.33698,15,2981.783374
-129.990588,16,3026.18269
-9.616905,3,3032.170885
-149.999783,16,3080.27107
-9.998359,2,3083.575869
-9.985333,2,3087.451051
-128.953906,15,3127.910825
-9.946494,2,3130.719611
-149.999994,16,3177.086197
-137.682058,16,3221.042638
-95.849791,15,3260.849996
-129.880587,15,3298.595695
-119.928447,15,3339.954037
-129.859122,15,3380.282075
-139.92505,15,3421.705669
-149.997538,16,3466.802895
-8.807078,3,3472.170622
-9.574128,4,3480.761942
-103.627902,15,3520.54211
-98.755126,15,3563.417875
-4.755469,3,3569.306471
-139.873493,15,3613.310136
-149.996364,16,3658.234182
-139.997103,15,3698.134935
3.052921,4,3707.158042
-9.909958,3,3713.278001
-129.670905,15,3754.478457
-129.972492,15,3794.626787
